itsp_track_sym,x8_track_sym,jcp_track_sym,jcp_track_name,gts_track_name,chart_file_sym,confirm_waw_sym,meet_sym,WN,PL,SH,EX,QU,TR,SU,SH5,DB,P3,P4,P5,P6,min_WN,min_PL,min_SH,min_EX,min_QN,min_TR,min_SU,min_SH5,min_DD,min_P3,min_P4,min_P5,min_P6,min_P7
,FPX,FPX,BARRETTS RACE MEET AT FAIRPLEX,,FPX,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTP,FTP,FORT PIERRE,,FTP,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFX,GFX,GREAT FALLS,,GF,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGD,GGX,GGX,GOLDEN GATE FIELDS,Golden Gate,GG,,No Code,0.0059,0.0059,0.0059,0.0386,0.0386,0.0431,0.0431,0.0426,0.0265,0.0431,0.0431,0.0,0.0431,,,,,,,,,,,,,,
,GPR,GPR,GRANDE PRAIRIE,,GPR,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM,GPX,GPX,GULFSTREAM PARK,Gulfstream Park,GP,GPM,GPM,0.0045,0.0045,0.0045,0.0165,,0.0405,0.0405,0.0085,0.0165,0.0165,0.0165,0,0.0165,,,,,,,,,,,,,,
,GRM,GRM,GREAT MEADOW,,GRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRP,GRP,GRANTS PASS,,GRP,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAD,HAW,HAW,HAWTHORNE,Hawthorne,HAW,HAD,HAD,0.04650000000000001,0.04650000000000001,0.04650000000000001,0.0815,0.0,0.1265,0.1265,0.1265,0.0815,0.1265,0.0265,0.0265,0.0765,[1.0],[1.0],[1.0],[1.0],,[0.2],[0.2],[0.2],[1.0],[0.5],[0.5],[0.5],[0.2],
,HIA,HIA,HIALEAH PARK,,HIA,HIM,HIM,0.1165,0.1165,0.1165,0.1265,0.1265,0.1365,0.1365,0.0,0.0465,0.0465,0.0465,0.0,0.0465,,,,,,,,,,,,,,
,HOL,HOL,BETFAIR HOLLYWOOD PARK,Hollywood Park,HOL,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOO,HOO,HOOSIER PARK,,HOO,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,HOU,HOU,SAM HOUSTON RACE PARK,Sam Houston,HOU,HUN,HUN,0.0665,0.0665,0.0665,0.0965,0.0965,0.1365,0.1365,0.1365,0.006500000000000001,0.006500000000000001,0.006500000000000001,0.006500000000000001,0.0,[2.0],[2.0],[2.0],[1.0],[1.0],[0.5],[0.1],[0.2],[1.0],[0.5],[0.5],[0.5],,
,HPO,HPO,HORSEMENS PARK,,HPO,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPT,HPX,HPX,HAZEL PARK,Hazel Park,HP,HPT,HPT,0.0965,0.0965,0.0965,0.2065,0.0,0.2065,0.2065,0.2065,0.2065,0.2065,0.2065,0.0,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,[1.0],[0.5],[0.2],,,
