field_index,field_name,target_type,notes
326,pp_surface_0,type_pp_surface,
327,pp_surface_1,type_pp_surface,
328,pp_surface_2,type_pp_surface,
329,pp_surface_3,type_pp_surface,
330,pp_surface_4,type_pp_surface,
331,pp_surface_5,type_pp_surface,
332,pp_surface_6,type_pp_surface,
333,pp_surface_7,type_pp_surface,
334,pp_surface_8,type_pp_surface,
335,pp_surface_9,type_pp_surface,
336,pp_chute_0,type_pp_chute,
337,pp_chute_1,type_pp_chute,
338,pp_chute_2,type_pp_chute,
339,pp_chute_3,type_pp_chute,
340,pp_chute_4,type_pp_chute,
341,pp_chute_5,type_pp_chute,
342,pp_chute_6,type_pp_chute,
343,pp_chute_7,type_pp_chute,
344,pp_chute_8,type_pp_chute,
345,pp_chute_9,type_pp_chute,
346,pp_fieldsize_0,float,
347,pp_fieldsize_1,float,
348,pp_fieldsize_2,float,
349,pp_fieldsize_3,float,
350,pp_fieldsize_4,float,
351,pp_fieldsize_5,float,
352,pp_fieldsize_6,float,
353,pp_fieldsize_7,float,
354,pp_fieldsize_8,float,
355,pp_fieldsize_9,float,
356,pp_postposition_0,int,
357,pp_postposition_1,int,
358,pp_postposition_2,int,
359,pp_postposition_3,int,
360,pp_postposition_4,int,
361,pp_postposition_5,int,
362,pp_postposition_6,int,
363,pp_postposition_7,int,
364,pp_postposition_8,int,
365,pp_postposition_9,int,
366,pp_equipment_0,type_pp_equipment,
367,pp_equipment_1,type_pp_equipment,
368,pp_equipment_2,type_pp_equipment,
369,pp_equipment_3,type_pp_equipment,
370,pp_equipment_4,type_pp_equipment,
371,pp_equipment_5,type_pp_equipment,
372,pp_equipment_6,type_pp_equipment,
373,pp_equipment_7,type_pp_equipment,
374,pp_equipment_8,type_pp_equipment,
375,pp_equipment_9,type_pp_equipment,
376,pp_reserved_0,str,flag
377,pp_reserved_1,str,flag
378,pp_reserved_2,str,flag
379,pp_reserved_3,str,flag
380,pp_reserved_4,str,flag
381,pp_reserved_5,str,flag
382,pp_reserved_6,str,flag
383,pp_reserved_7,str,flag
384,pp_reserved_8,str,flag
385,pp_reserved_9,str,flag
386,pp_medication_0,*type_pp_medication,
387,pp_medication_1,*type_pp_medication,
388,pp_medication_2,*type_pp_medication,
389,pp_medication_3,*type_pp_medication,
390,pp_medication_4,*type_pp_medication,
391,pp_medication_5,*type_pp_medication,
392,pp_medication_6,*type_pp_medication,
393,pp_medication_7,*type_pp_medication,
394,pp_medication_8,*type_pp_medication,
395,pp_medication_9,*type_pp_medication,
396,pp_comment_0,str,natural language
397,pp_comment_1,str,natural language
398,pp_comment_2,str,natural language
399,pp_comment_3,str,natural language
400,pp_comment_4,str,natural language
401,pp_comment_5,str,natural language
402,pp_comment_6,str,natural language
403,pp_comment_7,str,natural language
404,pp_comment_8,str,natural language
405,pp_comment_9,str,natural language
406,pp_winner_name_0,str,check if exists
407,pp_winner_name_1,str,check if exists
408,pp_winner_name_2,str,check if exists
409,pp_winner_name_3,str,check if exists
410,pp_winner_name_4,str,check if exists
411,pp_winner_name_5,str,check if exists
412,pp_winner_name_6,str,check if exists
413,pp_winner_name_7,str,check if exists
414,pp_winner_name_8,str,check if exists
415,pp_winner_name_9,str,check if exists
416,pp_second_name_0,str,check if exists
417,pp_second_name_1,str,check if exists
418,pp_second_name_2,str,check if exists
419,pp_second_name_3,str,check if exists
420,pp_second_name_4,str,check if exists
